X,Y,Major,Minor,Rotation,EFT:n,EFT:Jaqqard
33,33,30,3,58,0,1
33,33,30,9,95,1,0.76228
33,33,30,11,18,1,0.61607
33,33,30,6,38,1,0.46259
33,33,30,4,58,0,1
33,33,30,10,95,1,0.72562
33,33,30,5,58,0,1
33,33,30,7,38,1,0.48352
33,33,30,12,18,1,0.61474
33,33,30,11,95,1,0.69478
33,33,30,6,58,0,1
33,33,30,13,18,1,0.56315
33,33,30,8,38,1,0.4023
33,33,30,11,78,1,0.68211
33,33,30,12,95,1,0.67723
33,33,30,14,18,1,0.5539
33,33,30,7,58,0,1
33,33,30,9,38,1,0.33143
33,33,30,15,18,1,0.51613
33,33,30,13,95,1,0.62109
33,33,30,8,58,1,0.56757
33,33,30,30,110,1,0.23681
33,33,30,16,18,1,0.46231
33,33,30,12,78,1,0.63804
33,33,30,14,95,1,0.59302
33,33,30,9,58,1,0.51282
33,33,30,10,38,1,0.31461
33,33,30,3,109,0,1
33,33,30,15,95,1,0.55
33,33,30,17,18,1,0.47003
33,33,30,16,95,1,0.5365
33,33,30,4,109,0,1
33,33,30,10,58,1,0.48267
33,33,30,17,95,1,0.49141
33,33,30,11,38,1,0.26702
33,33,30,5,109,0,1
33,33,30,18,18,1,0.40325
33,33,30,13,78,1,0.5915
33,33,30,18,95,1,0.46565
33,33,30,6,109,0,1
33,33,30,11,58,1,0.43672
33,33,30,12,38,1,0.26562
33,33,30,19,95,1,0.43388
33,33,30,19,18,1,0.38095
33,33,30,7,109,1,0.7443
33,33,30,13,38,1,0.24837
33,33,30,12,58,1,0.43567
33,33,30,20,95,1,0.39815
33,33,30,14,78,1,0.58435
33,33,30,13,58,1,0.41584
33,33,30,14,38,1,0.25862
33,33,30,21,95,1,0.3625
33,33,30,8,109,1,0.70762
33,33,30,15,78,1,0.54035
33,33,30,14,58,1,0.39104
33,33,30,22,95,1,0.33951
33,33,30,16,78,1,0.52303
33,33,30,9,109,1,0.67749
33,33,30,15,38,1,0.23126
33,33,30,15,58,1,0.35573
33,33,30,17,78,1,0.49373
33,33,30,16,38,1,0.22547
33,33,30,10,109,1,0.64651
33,33,30,20,18,1,0.32268
33,33,30,16,58,1,0.30769
33,33,30,23,95,1,0.3052
33,33,30,17,58,1,0.29537
33,33,30,17,38,1,0.23619
33,33,30,18,78,1,0.44767
33,33,30,18,38,1,0.2205
33,33,30,11,109,1,0.61947
33,33,30,21,18,1,0.30551
33,33,30,18,58,1,0.28164
33,33,30,19,38,1,0.16196
33,33,30,12,109,1,0.63462
33,33,30,19,78,1,0.39935
33,33,30,13,109,1,0.57089
33,33,30,19,58,1,0.23698
33,33,30,20,38,1,0.18151
33,33,30,14,109,1,0.54614
33,33,30,22,18,1,0.30014
33,33,30,15,109,1,0.53984
33,33,30,16,109,1,0.44966
33,33,30,20,58,1,0.2328
33,33,30,20,78,1,0.37936
33,33,30,21,38,1,0.18006
33,33,30,17,109,1,0.46392
33,33,30,21,58,1,0.20598
33,33,30,21,78,1,0.33076
33,33,30,23,18,1,0.26799
33,33,30,18,109,1,0.38529
33,33,30,22,78,1,0.34462
33,33,30,22,38,1,0.23415
33,33,30,24,18,1,0.25339
33,33,30,23,38,1,0.18351
33,33,30,19,109,1,0.38844
33,33,30,23,78,1,0.27809
33,33,30,22,58,1,0.19192
33,33,30,24,38,1,0.17404
33,33,30,25,18,1,0.25248
33,33,30,25,38,1,0.23566
33,33,30,23,58,1,0.1891
33,33,30,24,95,1,0.25344
33,33,30,26,18,1,0.24328
33,33,30,20,109,1,0.31804
33,33,30,24,58,1,0.20701
33,33,30,24,78,1,0.2489
33,33,30,26,38,1,0.18283
33,33,30,25,58,1,0.17893
33,33,30,27,18,1,0.20699
33,33,30,21,109,1,0.32543
33,33,30,25,78,1,0.2058
33,33,30,25,95,1,0.24113
