N,SNR-Theoretical,SNR-Real,POD:Jaqqard,POD:Time,PODH:Jaqqard,PODH:Time,Hough:Jaqqard,Hough:Time
1,27,26.5406,0.98318,5.9414,0.13514,15.4697,0.49331,3.3748
2,27,26.2112,0.98318,5.8355,0.11525,15.0599,0.16667,0.70114
3,27,26.4679,0.98353,5.8464,0.11525,15.1001,0.15605,0.70371
4,27,26.5562,0.98327,5.8431,0.11525,15.0812,0.38515,2.1106
5,27,26.4993,0.98252,6.0652,0.11525,15.464,0.53752,1.9977
6,27,27.1817,0.98328,6.1142,0.26944,14.8689,0.16667,1.2295
7,27,26.2941,0.98371,6.2101,0.11525,14.6422,0.15064,3.1523
8,27,26.6611,0.98323,6.0365,0.11525,13.5861,0.15335,1.629
9,27,26.9911,0.98336,6.0698,0.11525,13.2263,0.16667,1.8265
10,27,26.5932,0.98313,6.0932,0.11525,13.0622,0.16667,0.78607
1,26,26.0174,0.98345,5.9683,0.11525,15.4507,0.16667,5.3578
2,26,25.727,0.98329,5.8956,0.11525,14.1552,0.78135,15.0398
3,26,25.4319,0.98398,6.0507,0.11525,15.5657,0.41372,3.4859
4,26,25.317,0.98274,6.1354,0.11525,14.8567,0.78766,28.5659
5,26,25.4497,0.98341,6.1968,0.11525,13.2007,0.72164,4.755
6,26,25.4511,0.98331,6.2012,0.11525,15.0152,0.16404,2.1319
7,26,25.7483,0.9838,6.2101,0.13514,15.0427,0.67162,7.6549
8,26,25.7677,0.98283,6.105,0.11525,15.0347,1,9.4126
9,26,25.5436,0.98321,6.2566,0.11525,15.5275,0.38084,3.2056
10,26,26.1019,0.98309,6.2535,0.11525,15.375,0.70358,9.834
1,25,24.7853,0.98337,6.1512,0.11525,15.5583,0.62143,14.0003
2,25,24.4226,0.98347,6.1192,0.11525,15.2999,0.4098,12.1301
3,25,24.8488,0.9834,6.1214,0.11525,15.6241,0.60954,18.7088
4,25,24.3738,0.9831,6.0649,0.11525,12.9531,0.5598,23.1535
5,25,24.3395,0.98316,6.06,0.11525,14.5865,0.71979,19.7263
6,25,24.33,0.98296,6.0718,0.11525,14.4422,0.76061,16.8206
7,25,25.1258,0.98327,6.2063,0.18246,15.1116,0.72453,17.8188
8,25,24.9343,0.98328,6.1234,0.11525,15.2791,0.77312,11.4767
9,25,24.3687,0.9831,6.1345,0.11525,14.7807,0.74617,17.5291
10,25,24.1628,0.98298,6.0544,0.11525,14.6758,0.47,20.8648
1,24,23.4574,0.9833,6.0858,0.11525,14.9632,0.89587,52.6163
2,24,23.4579,0.98336,6.0987,0.11525,14.9987,0.91841,56.3054
3,24,23.3305,0.98337,6.1503,0.13514,16.385,0.80783,40.8381
4,24,24.0173,0.98331,6.136,0.11525,13.8059,0.79272,31.8657
5,24,23.2273,0.98338,6.0574,0.15873,16.2267,0.92803,97.9498
6,24,23.5417,0.98329,6.0808,0.11525,16.2694,0.76418,70.9829
7,24,23.5085,0.98353,6.0697,0.13514,14.9806,0.77561,49.0626
8,24,23.4596,0.98313,6.1167,0.11525,16.2998,0.40724,59.2007
9,24,23.2723,0.98341,6.3484,0.11525,14.7169,0.85137,65.8946
10,24,23.0231,0.98335,6.1568,0.11525,13.1675,0.88631,64.2422
1,23,22.3998,0.98268,6.3459,0.15873,15.0279,0.88743,174.1806
2,23,22.4821,0.98342,6.2491,0.13514,14.6045,0.93597,102.9456
3,23,22.5619,0.98355,6.2709,0.17957,14.6944,0.9102,122.4419
4,23,22.1778,0.98319,6.2596,0.11525,15.1686,0.91068,200.5557
5,23,22.3239,0.98296,6.1776,0.11525,15.7143,0.82392,214.5696
6,23,21.9893,0.98336,6.2782,0.11525,16.3889,0.75628,104.7372
7,23,22.3863,0.98319,6.3164,0.11525,16.5498,0.91979,92.888
8,23,22.6233,0.98342,6.3923,0.15972,16.488,0.36298,5.673
9,23,22.3639,0.98349,6.1422,0.15385,15.0067,0.92514,77.5658
10,23,22.0105,0.98268,6.1994,0.11525,15.1599,0.94858,110.9138
1,22,21.3517,0.98325,6.1934,0.15603,15.0905,0.58787,8.5268
2,22,20.9862,0.98331,6.2389,0.15603,16.3705,0.13961,5.0667
