distx,disty,HEDAR:n,HEDAR:Jaccard,Hough:n,Hough:Jaccard,EFT:n,EFT:Jaccard
-10,-86,2,0.23902,8,0.14931,2,0.094488
-58,-85,2,0.22082,6,0.12625,2,0.1122
26,-87,2,0.22082,6,0.12625,2,0.10367
-82,-83,2,0.22082,6,0.12625,2,0.11728
10,-88,2,0.23902,8,0.14931,2,0.093107
-10,-85,2,0.22082,6,0.12625,2,0.084973
26,-86,2,0.23902,8,0.14931,2,0.10669
-34,-84,2,0.23902,8,0.14931,2,0.1147
-58,-84,2,0.23902,8,0.14931,2,0.099733
-82,-82,2,0.23902,8,0.14931,2,0.094033
10,-87,2,0.22082,6,0.12625,2,0.074775
26,-85,2,0.22082,6,0.12625,1,0.53394
-10,-84,2,0.23902,8,0.14931,2,0.094488
-34,-83,2,0.22082,6,0.12625,2,0.15365
-58,-83,2,0.22082,6,0.12625,2,0.11644
10,-86,2,0.23902,8,0.14931,2,0.093995
-82,-81,2,0.22082,6,0.12625,2,0.077626
-34,-82,2,0.23902,8,0.14931,2,0.18089
26,-84,2,0.23902,8,0.14931,2,0.072926
-10,-83,2,0.22082,6,0.12625,2,0.10996
-58,-82,2,0.23902,8,0.14931,2,0.096102
-34,-81,2,0.22082,6,0.12625,1,0.59177
26,-83,2,0.22082,6,0.12625,2,0.075249
10,-85,2,0.22082,6,0.12625,2,0.10975
-82,-80,2,0.23902,8,0.14931,2,0.094374
-10,-82,3,0.36499,8,0.14931,2,0.16529
-34,-80,2,0.23902,8,0.14931,1,0.5797
-58,-81,2,0.22082,6,0.12625,2,0.11749
10,-84,2,0.23902,8,0.14931,2,0.092199
26,-82,2,0.23902,8,0.14931,2,0.10912
-82,-79,2,0.22082,6,0.12625,2,0.077484
-34,-79,2,0.22082,6,0.12625,1,0.59318
-58,-80,2,0.23902,8,0.14931,2,0.098182
-10,-81,3,0.36871,6,0.12625,2,0.11515
26,-81,2,0.22082,6,0.12625,1,0.53358
10,-83,2,0.22082,6,0.12625,2,0.097711
-82,-78,2,0.23902,8,0.14931,2,0.094545
26,-80,2,0.23902,8,0.14931,1,0.53351
-34,-78,2,0.23902,8,0.14931,2,0.20827
