N,number,POD:n,POD:time,POD:memory,POD:Jaqqard,PODH:n,PODH:time,PODH:memory,PODH:Jaqqard,Hough: n,Hough:time,Hough:memory,Hough:Jaqqard
5,49,49,17.135,1.844674407224575e+19,0.96028,49,39.1633,1681873040,0.96028,25,87.6751,102347392,0.73265
6,49,49,15.5311,1.844674407225537e+19,0.96028,49,39.2449,1604333728,0.96028,25,86.1313,7931536,0.73265
7,49,49,15.7365,1.844674407366376e+19,0.96028,49,36.2966,13413532224,0.96028,25,72.821,228904384,0.73265
8,49,49,15.1214,80580880,0.96028,49,38.3582,3598971168,0.96028,25,86.0444,0,0.73265
9,49,49,17.0247,1.844674407304432e+19,0.96028,49,35.7932,13553106976,0.96028,25,77.0307,228904384,0.73265
10,49,49,15.4565,1.844674407298117e+19,0.96028,49,38.8502,1969222496,0.96028,25,83.4288,0,0.73265
1,50,49,16.65,1.844674407230174e+19,0.96744,49,38.421,1604333568,0.96744,26,94.8719,0,0.76216
2,50,49,17.1304,1.844674407333574e+19,0.96744,49,39.0423,3080011600,0.96744,26,95.0308,0,0.76216
3,50,49,17.2605,1.844674407293767e+19,0.96744,49,36.5419,13269242064,0.96744,26,82.8821,252732800,0.76216
4,50,49,15.5651,1.844674407269781e+19,0.96744,49,38.8429,2079193440,0.96744,26,94.8372,0,0.76216
5,50,49,17.4169,1.844674407259846e+19,0.96744,49,36.6288,12949206576,0.96744,26,81.2151,252732848,0.76216
6,50,49,15.525,333763776,0.96744,49,39.0595,1933008560,0.96744,26,93.844,0,0.76216
7,50,49,17.2963,308993328,0.96744,49,39.1357,3299432768,0.96744,26,94.9205,32,0.76216
8,50,49,17.0828,1.844674407278686e+19,0.96744,49,37.3578,3232803312,0.96744,26,91.7837,0,0.76216
9,50,49,16.7161,1.844674407257718e+19,0.96744,49,36.8057,2642582368,0.96744,26,93.7127,0,0.76216
10,50,49,17.062,1.844674407237492e+19,0.96744,49,36.0073,13064141184,0.96744,26,81.4229,252731792,0.76216
1,51,51,15.6177,609466544,0.9593,51,39.3007,2392733168,0.9593,33,92.1213,0,0.70128
2,51,51,17.323,1.844674407224575e+19,0.9593,51,38.3669,2535747344,0.9593,33,90.5055,0,0.70128
3,51,51,16.8579,1.844674407224578e+19,0.9593,51,38.6328,1957720176,0.9593,33,91.7676,0,0.70128
4,51,51,16.9469,1.844674407224575e+19,0.9593,51,36.0864,12445775152,0.9593,33,78.9671,243209376,0.70128
5,51,51,15.0244,348609168,0.9593,51,38.7007,1604333568,0.9593,33,86.5744,0,0.70128
6,51,51,16.4761,1.844674407285062e+19,0.9593,51,36.3333,2570411680,0.9593,33,88.7776,0,0.70128
7,51,51,16.2981,1.844674407370266e+19,0.9593,51,36.4359,2109570048,0.9593,33,91.5816,0,0.70128
8,51,51,16.9083,1.844674407270067e+19,0.9593,51,38.5149,4223316768,0.9593,33,91.5524,0,0.70128
9,51,51,17.1381,1.844674407301712e+19,0.9593,51,38.8905,2302103824,0.9593,33,89.7159,0,0.70128
10,51,51,16.7669,1.844674407225115e+19,0.9593,51,35.9307,14179942640,0.9593,33,76.1554,243209376,0.70128
1,52,52,15.4925,1.84467440732228e+19,0.91765,52,36.4546,13186035488,0.91765,35,72.9999,225193776,0.68959
2,52,52,14.9727,1.84467440724551e+19,0.91765,52,39.7639,2049191568,0.91765,35,85.4837,0,0.68959
3,52,52,16.8104,1.844674407335731e+19,0.91765,52,39.9443,2460512592,0.91765,35,86.9988,48,0.68959
4,52,52,17.1061,1.844674407224628e+19,0.91765,52,40.0541,1604366608,0.91765,35,82.304,0,0.68959
5,52,52,16.3862,1.844674407325774e+19,0.91765,52,35.261,15467651472,0.91765,35,76.3062,225193776,0.68959
6,52,52,15.5076,1.844674407239183e+19,0.91765,52,39.5035,2483444768,0.91765,35,86.8687,0,0.68959
7,52,52,16.9384,1.844674407320693e+19,0.91765,52,40.6358,1604333728,0.91765,35,87.1687,144169040,0.68959
8,52,52,15.87,1.844674407238399e+19,0.91765,52,40.5592,1644677936,0.91765,35,86.6836,48,0.68959
9,52,52,16.949,1.844674407255156e+19,0.91765,52,38.4335,12963973616,0.91765,35,74.8577,225193776,0.68959
10,52,52,15.3514,1.844674407242127e+19,0.91765,52,35.9506,13777760608,0.91765,35,75.9279,225193824,0.68959
1,53,53,15.4185,63842720,0.94872,53,36.2119,13576723744,0.94872,9,73.3089,239558768,0.89818
2,53,53,14.8803,108011184,0.94872,53,37.4646,1704565968,0.94872,9,84.9798,48,0.89818
3,53,53,16.1525,1275437840,0.94872,53,35.7477,15467611968,0.94872,9,77.8158,239558768,0.89818
4,53,53,15.3931,88274592,0.94872,53,38.3704,12391631168,0.94872,9,77.9233,239558768,0.89818
5,53,53,15.4369,893059088,0.94872,53,37.4816,3111277104,0.94872,9,90.2492,48,0.89818
6,53,53,17.1196,1.844674407229202e+19,0.94872,53,36.6205,13812029936,0.94872,9,75.5469,239558768,0.89818
7,53,53,15.2716,1.844674407229481e+19,0.94872,53,38.1214,13476176512,0.94872,9,73.7397,239558768,0.89818
8,53,53,14.7203,72053408,0.94872,53,39.6005,1772371440,0.94872,9,83.7664,0,0.89818
9,53,53,16.4006,1.844674407290541e+19,0.94872,53,36.2237,14512157696,0.94872,9,76.6591,239558768,0.89818
10,53,53,15.2835,154015104,0.94872,53,36.6321,3865319072,0.94872,9,84.7617,0,0.89818
1,54,53,15.7692,1.844674407226391e+19,0.94731,53,39.0837,2211209616,0.94731,22,80.301,0,0.75703
2,54,53,16.5383,1.844674407289281e+19,0.94731,53,37.3948,6780964768,0.94731,22,79.6582,0,0.75703
3,54,53,16.3616,798682320,0.94731,53,39.4052,2416253424,0.94731,22,80.2246,0,0.75703
4,54,53,16.5425,1.84467440726627e+19,0.94731,53,38.8113,2233072400,0.94731,22,84.0973,0,0.75703
5,54,53,16.8578,1.84467440725185e+19,0.94731,53,36.425,12781121872,0.94731,22,72.6387,224370000,0.75703
6,54,53,15.2234,1.844674407313194e+19,0.94731,53,39.9963,1604333568,0.94731,22,84.1631,110467760,0.75703
7,54,53,15.7847,1.844674407332299e+19,0.94731,53,34.6376,15220064608,0.94731,22,72.2155,224370000,0.75703
8,54,53,15.329,1.844674407257952e+19,0.94731,53,36.422,10416981200,0.94731,22,74.1437,224370000,0.75703
9,54,53,15.5155,1.844674407243422e+19,0.94731,53,36.2941,14090071952,0.94731,22,69.8969,224370000,0.75703
10,54,53,15.0282,1.844674407300429e+19,0.94731,53,38.1497,14110069216,0.94731,22,73.9157,207621104,0.75703
1,55,55,16.7944,1.844674407276447e+19,0.95997,55,40.3798,2014734400,0.95997,46,109.4836,310183472,0.66746
2,55,55,16.0439,1.844674407357422e+19,0.95997,55,40.5952,2310294864,0.95997,46,103.4376,0,0.66746
3,55,55,16.6086,1.844674407244806e+19,0.95997,55,40.2389,2348377840,0.95997,46,108.8856,291085152,0.66746
4,55,55,15.9164,1.844674407351248e+19,0.95997,55,38.4511,5362248416,0.95997,46,107.4134,0,0.66746
5,55,55,16.9256,1.844674407352079e+19,0.95997,55,38.3296,2866278288,0.95997,46,109.164,0,0.66746
6,55,55,16.9026,355845520,0.95997,55,36.3007,7290265792,0.95997,46,105.09,0,0.66746
7,55,55,16.5805,1.844674407264299e+19,0.95997,55,38.3555,10228090032,0.95997,46,93.8208,329274928,0.66746
8,55,55,15.341,931533904,0.95997,55,37.5797,3414116112,0.95997,46,109.5389,0,0.66746
9,55,55,16.9989,1.844674407289472e+19,0.95997,55,35.642,12782680464,0.95997,46,96.2723,329274928,0.66746
10,55,55,15.564,183819376,0.95997,55,38.8656,3262690896,0.95997,46,102.5709,307701744,0.66746
1,56,56,16.5267,1108000944,0.90793,56,37.779,14209006656,0.90793,22,81.1662,257220720,0.77833
2,56,56,15.5364,1639772512,0.90793,56,36.7525,6104404944,0.90793,22,94.2436,0,0.77833
3,56,56,17.2318,1.844674407251575e+19,0.90793,56,38.269,2256269024,0.90793,22,88.0307,0,0.77833
4,56,56,16.9383,1.84467440727512e+19,0.90793,56,36.2543,2177845760,0.90793,22,92.2987,0,0.77833
5,56,56,16.9746,1.844674407325893e+19,0.90793,56,35.8928,13946862624,0.90793,22,79.1551,257220720,0.77833
6,56,56,15.2151,1.84467440727239e+19,0.90793,56,40.1886,3413766704,0.90793,22,86.8809,0,0.77833
7,56,56,16.4092,1285942080,0.90793,56,39.7002,3438930576,0.90793,22,87.9007,0,0.77833
8,56,56,16.4285,1.844674407326279e+19,0.90793,56,39.8922,2487846864,0.90793,22,90.4419,48,0.77833
9,56,56,16.2857,1.844674407240248e+19,0.90793,56,35.2611,13732195520,0.90793,22,79.2397,257220720,0.77833
10,56,56,15.2678,1.844674407231187e+19,0.90793,56,40.1528,2012497168,0.90793,22,86.6695,0,0.77833
1,57,57,16.504,1.844674407277097e+19,0.95484,57,34.4156,13332435488,0.95484,42,90.9388,302768208,0.67103
2,57,57,15.4277,1.844674407290418e+19,0.95484,57,39.5739,2314440864,0.95484,42,104.2589,0,0.67103
3,57,57,17.0584,1.844674407237903e+19,0.95484,57,37.6344,12396496240,0.95484,42,90.7683,302768208,0.67103
4,57,57,15.3429,1.844674407266774e+19,0.95484,57,40.4196,2591437584,0.95484,42,98.0835,0,0.67103
5,57,57,15.9635,1.844674407331919e+19,0.95484,57,35.5397,2114734048,0.95484,42,105.8428,0,0.67103
6,57,57,17.0212,1.844674407332387e+19,0.95484,57,40.2832,2369628304,0.95484,42,103.1213,0,0.67103
7,57,57,16.9275,1.844674407355032e+19,0.95484,57,39.2308,2917572560,0.95484,42,104.0384,0,0.67103
8,57,57,16.9537,69665024,0.95484,57,39.7198,2932614976,0.95484,42,103.9499,0,0.67103
9,57,57,17.1152,145936720,0.95484,57,38.0111,3009272288,0.95484,42,103.4191,0,0.67103
10,57,57,17.0578,225573712,0.95484,57,36.9722,3129142016,0.95484,42,105.4853,0,0.67103
1,58,58,16.6912,1.84467440723485e+19,0.96003,58,40.118,1672023696,0.96003,25,90.6407,48,0.78934
2,58,58,17.1273,1.844674407315699e+19,0.96003,58,36.7028,13615388320,0.96003,25,78.8403,254406016,0.78934
3,58,58,15.4186,194544608,0.96003,58,38.1307,1604333568,0.96003,25,88.8366,0,0.78934
4,58,58,16.5592,1050270944,0.96003,58,38.1419,4456862784,0.96003,25,85.5978,48,0.78934
5,58,58,16.4357,1.844674407253223e+19,0.96003,58,37.5221,13831063504,0.96003,25,74.6639,254406064,0.78934
6,58,58,14.7809,1548888192,0.96003,58,37.9664,3020344672,0.96003,25,86.0856,0,0.78934
7,58,58,16.3996,1.844674407364538e+19,0.96003,58,35.7242,13247205760,0.96003,25,78.773,254406032,0.78934
8,58,58,15.5322,1.844674407271073e+19,0.96003,58,40.403,2575169232,0.96003,25,84.9703,0,0.78934
9,58,58,16.4698,1.844674407255729e+19,0.96003,58,35.3643,13917714672,0.96003,25,78.4982,254406016,0.78934
10,58,58,15.4435,1.844674407243554e+19,0.96003,58,37.9814,2108165904,0.96003,25,84.5532,0,0.78934
1,59,59,15.9147,1.844674407229482e+19,0.92402,59,37.7475,1604333920,0.92402,10,90.8231,0,0.88155
2,59,59,16.7407,667523200,0.92402,59,39.7428,2407369248,0.92402,10,89.2758,240,0.88155
3,59,59,16.7438,810719952,0.92402,59,36.2722,13733176448,0.92402,10,76.2022,258157104,0.88155
4,59,59,15.0646,1.844674407290361e+19,0.92402,59,40.4138,1604334960,0.92402,10,89.3032,32,0.88155
5,59,59,16.8283,1.844674407224575e+19,0.92402,59,40.5077,1671369680,0.92402,10,85.7473,48,0.88155
6,59,59,16.3056,1.844674407299394e+19,0.92402,59,37.5064,1656031472,0.92402,10,91.7441,0,0.88155
7,59,59,17.0609,1.844674407332598e+19,0.92402,59,40.4708,1604333568,0.92402,10,91.7379,0,0.88155
8,59,59,17.1592,1.844674407224575e+19,0.92402,59,40.2263,1638896416,0.92402,10,90.8935,0,0.88155
9,59,59,16.662,1.844674407259917e+19,0.92402,59,35.893,13048993424,0.92402,10,75.0959,258157104,0.88155
10,59,59,14.7234,1.844674407276298e+19,0.92402,59,35.4861,15467620160,0.92402,10,75.1582,258157104,0.88155
1,60,60,15.6605,1.844674407261832e+19,0.92791,60,35.5407,1622475392,0.92791,34,105.6431,0,0.69172
2,60,60,16.5098,1.844674407226897e+19,0.92791,60,39.5855,1604333568,0.92791,34,108.2358,59372704,0.69172
3,60,60,15.7242,1.844674407248119e+19,0.92791,60,40.2998,3739158464,0.92791,34,106.0858,0,0.69172
4,60,60,16.7717,1.844674407268852e+19,0.92791,60,40.1005,2286200400,0.92791,34,106.4084,0,0.69172
5,60,60,16.6621,1.844674407259548e+19,0.92791,60,37.7287,2516532704,0.92791,34,106.3323,0,0.69172
6,60,60,16.7242,1.844674407268708e+19,0.92791,60,40.2919,1604333664,0.92791,34,102.3056,0,0.69172
7,60,60,16.3963,1.844674407282942e+19,0.92791,60,37.5318,14573888608,0.92791,34,95.1176,331043696,0.69172
8,60,60,15.4248,1.844674407308029e+19,0.92791,60,37.995,1931112752,0.92791,34,106.8552,32960,0.69172
9,60,60,16.8024,1.844674407347155e+19,0.92791,60,37.5015,12589294432,0.92791,34,90.6254,331043696,0.69172
10,60,60,14.7884,667447312,0.92791,60,39.7023,1622082240,0.92791,34,105.5875,0,0.69172
1,61,61,16.603,1.844674407243115e+19,0.92995,61,40.1659,1674404928,0.92995,46,91.1819,0,0.6924
2,61,61,16.7164,1.844674407252193e+19,0.92995,61,37.9144,12721101376,0.92995,46,79.4604,286691888,0.6924
3,61,61,14.7423,1.844674407350046e+19,0.92995,61,37.4846,3532894432,0.92995,46,90.4327,0,0.6924
4,61,61,16.1968,1.844674407350092e+19,0.92995,61,37.4627,14710620112,0.92995,46,79.9556,286691872,0.6924
5,61,61,14.8053,755857056,0.92995,61,37.8994,2333690656,0.92995,46,92.0155,0,0.6924
6,61,61,16.4825,1.84467440727738e+19,0.92995,61,39.6785,1686417616,0.92995,46,90.0174,0,0.6924
7,61,61,16.4522,1.844674407224575e+19,0.92995,61,37.2597,14583211664,0.92995,46,80.1912,198795168,0.6924
8,61,61,16.0804,1.844674407292633e+19,0.92995,61,37.7968,13429332064,0.92995,46,81.7523,286691888,0.6924
9,61,61,14.7365,1.844674407319213e+19,0.92995,61,37.6809,1812308928,0.92995,46,90.1218,0,0.6924
10,61,61,16.2753,1.844674407234221e+19,0.92995,61,39.3825,2524157744,0.92995,46,90.918,0,0.6924
1,62,63,16.5653,1.844674407241818e+19,0.93549,63,39.0837,1812095056,0.93549,51,109.6135,0,0.66024
2,62,63,16.7867,1.844674407258261e+19,0.93549,63,36.1815,12695593408,0.93549,51,90.8452,342614256,0.66024
3,62,63,14.9162,1.844674407254747e+19,0.93549,63,37.4544,1685748816,0.93549,51,104.3378,0,0.66024
4,62,63,16.2747,271033808,0.93549,63,36.2172,2009346784,0.93549,51,107.6918,249407984,0.66024
5,62,63,15.5964,1.844674407298409e+19,0.93549,63,38.2061,13141128800,0.93549,51,94.2147,342614272,0.66024
6,62,63,15.1362,1.84467440734732e+19,0.93549,63,39.87,1920663648,0.93549,51,103.2875,0,0.66024
7,62,63,16.4465,1.844674407271155e+19,0.93549,63,37.7326,12600926688,0.93549,51,93.5674,342614256,0.66024
8,62,63,15.0846,1.844674407354631e+19,0.93549,63,38.4855,3661170512,0.93549,51,111.4506,0,0.66024
9,62,63,16.8025,1.844674407253783e+19,0.93549,63,34.4212,15467626976,0.93549,51,93.9394,342614256,0.66024
10,62,63,15.0888,788122560,0.93549,63,38.1519,3163581584,0.93549,51,111.2485,560,0.66024
1,63,63,16.8423,285274464,0.94741,63,37.9538,1618245808,0.94741,25,107.1397,15490912,0.74586
2,63,63,14.9083,1.844674407354571e+19,0.94741,63,38.39,1619310304,0.94741,25,105.6116,150906448,0.74586
3,63,63,14.9231,1.844674407268782e+19,0.94741,63,39.4808,2943116544,0.94741,25,109.9215,0,0.74586
4,63,63,16.8604,1.844674407224575e+19,0.94741,63,39.5374,2975061312,0.94741,25,109.7601,0,0.74586
5,63,63,16.7747,370424320,0.94741,63,34.7471,14840159840,0.94741,25,94.5485,339147856,0.74586
6,63,63,15.0855,1.844674407365952e+19,0.94741,63,37.1244,13663131648,0.94741,25,94.468,339147808,0.74586
7,63,63,15.0635,1.844674407254304e+19,0.94741,63,39.7736,2844419728,0.94741,25,109.458,0,0.74586
8,63,63,16.9543,1.844674407224575e+19,0.94741,63,40.1695,2727942800,0.94741,25,104.5419,0,0.74586
9,63,63,16.7177,1.84467440728942e+19,0.94741,63,37.3415,13633868448,0.94741,25,96.413,339147856,0.74586
10,63,63,15.4593,299233424,0.94741,63,37.735,6286587664,0.94741,25,95.7033,339147808,0.74586
1,64,64,15.4291,1.844674407245283e+19,0.9078,64,40.477,2141977632,0.9078,24,110.4396,0,0.76157
2,64,64,16.2486,316747120,0.9078,64,39.8428,2077830048,0.9078,24,116.295,0,0.76157
3,64,64,16.6951,1.844674407226582e+19,0.9078,64,41.1926,1740727152,0.9078,24,113.4628,0,0.76157
4,64,64,16.936,1.844674407343741e+19,0.9078,64,38.2203,14415349888,0.9078,24,101.2198,380117728,0.76157
5,64,64,15.2679,920275872,0.9078,64,38.6778,2512591952,0.9078,24,115.8266,48,0.76157
6,64,64,16.8872,1.844674407284357e+19,0.9078,64,40.7742,2683577632,0.9078,24,115.1794,0,0.76157
7,64,64,16.8918,1.844674407265744e+19,0.9078,64,40.1634,1604333936,0.9078,24,113.1316,0,0.76157
8,64,64,16.7173,1.844674407224575e+19,0.9078,64,37.3368,13721585056,0.9078,24,101.0426,380117728,0.76157
9,64,64,15.1728,1.844674407353922e+19,0.9078,64,39.7717,3585545616,0.9078,24,112.7724,0,0.76157
10,64,64,16.6144,1.84467440726462e+19,0.9078,64,40.707,1673889696,0.9078,24,113.1122,0,0.76157
1,65,66,15.7615,1639860400,0.89645,66,38.3897,1605417744,0.89645,44,120.2091,0,0.6795
2,65,66,16.2719,108782480,0.89645,66,37.9761,3105888992,0.89645,44,120.0017,0,0.6795
3,65,66,16.4751,1.844674407285761e+19,0.89645,66,38.304,2524411520,0.89645,44,123.5429,96,0.6795
4,65,66,17.0213,1.844674407280131e+19,0.89645,66,38.3765,2609411936,0.89645,44,120.0222,0,0.6795
5,65,66,16.5868,1.844674407284013e+19,0.89645,66,37.9817,2363280992,0.89645,44,119.883,0,0.6795
6,65,66,16.6182,1.844674407230046e+19,0.89645,66,40.8062,2153235504,0.89645,44,120.4159,48,0.6795
7,65,66,16.9431,1.844674407322357e+19,0.89645,66,38.2684,14700220592,0.89645,44,103.1329,413810496,0.6795
8,65,66,15.1083,348992096,0.89645,66,37.3145,12467741872,0.89645,44,107.5174,413810496,0.6795
9,65,66,14.7647,1.844674407358904e+19,0.89645,66,39.4106,2375931920,0.89645,44,123.7005,0,0.6795
10,65,66,17.1325,1.844674407311676e+19,0.89645,66,38.3205,14528175136,0.89645,44,102.6635,413810496,0.6795
1,66,65,15.5319,1.844674407354598e+19,0.92891,65,37.6355,1627806368,0.92891,34,103.4492,0,0.66907
2,66,65,16.1431,1.844674407263169e+19,0.92891,65,37.4629,13891840384,0.92891,34,94.9391,348106000,0.66907
3,66,65,15.0955,669105520,0.92891,65,38.4331,1817947072,0.92891,34,109.7683,0,0.66907
4,66,65,16.7066,1.844674407326902e+19,0.92891,65,34.9369,15467629408,0.92891,34,92.5146,348106000,0.66907
5,66,65,15.0168,1.84467440722575e+19,0.92891,65,39.7755,1751771424,0.92891,34,107.5175,0,0.66907
6,66,65,16.9969,1.844674407224575e+19,0.92891,65,40.0236,1604366608,0.92891,34,105.5423,0,0.66907
7,66,65,16.7664,1.844674407300431e+19,0.92891,65,40.2408,2208539856,0.92891,34,108.2126,33040,0.66907
8,66,65,17.0805,1.844674407229492e+19,0.92891,65,40.3117,2096523504,0.92891,34,105.6403,0,0.66907
9,66,65,16.4862,1.84467440727616e+19,0.92891,65,37.6367,12696907216,0.92891,34,89.3469,21045936,0.66907
10,66,65,15.5984,25490880,0.92891,65,37.6004,1927898032,0.92891,34,102.2045,0,0.66907
1,67,67,15.5749,1.844674407237052e+19,0.92132,67,38.6694,1604333568,0.92132,19,114.0599,0,0.73003
2,67,67,16.1345,1.844674407230324e+19,0.92132,67,36.6603,13227413488,0.92132,19,100.4775,405099392,0.73003
3,67,67,14.5893,1236986048,0.92132,67,37.6543,4171843504,0.92132,19,122.7556,48,0.73003
4,67,67,16.8816,1.844674407289973e+19,0.92132,67,36.1581,12981265072,0.92132,19,105.0658,405099392,0.73003
5,67,67,14.9486,1.844674407230121e+19,0.92132,67,37.4561,13353173824,0.92132,19,104.5737,405099392,0.73003
6,67,67,15.1811,691564304,0.92132,67,35.9901,13529112544,0.92132,19,99.5529,405099392,0.73003
7,67,67,14.7799,1.844674407261315e+19,0.92132,67,40.3006,1604335472,0.92132,19,113.2409,48,0.73003
8,67,67,16.3583,1.844674407294726e+19,0.92132,67,37.2264,13320037552,0.92132,19,102.0286,405099392,0.73003
9,67,67,14.8835,268488656,0.92132,67,35.871,10173828016,0.92132,19,122.8368,0,0.73003
10,67,67,17.0573,1.844674407224575e+19,0.92132,67,39.6096,3206681472,0.92132,19,120.8762,0,0.73003
1,68,68,17.121,1.844674407245992e+19,0.95135,68,36.8935,14686303200,0.92714,48,102.4905,421847696,0.68597
2,68,68,15.0164,158347072,0.95135,68,37.0249,2503572960,0.92714,48,123.166,14507632,0.68597
3,68,68,15.6487,1.844674407227242e+19,0.95135,68,39.5015,1936036416,0.92714,48,119.6235,181407952,0.68597
4,68,68,15.6748,1.844674407258415e+19,0.95135,68,40.4638,2445743840,0.92714,48,105.0701,421847680,0.68597
5,68,68,15.2691,1.844674407231507e+19,0.95135,68,39.871,2013118992,0.92714,48,115.1717,0,0.68597
6,68,68,15.7977,916128080,0.95135,68,38.2292,3924787248,0.92714,48,117.597,0,0.68597
7,68,68,16.2083,265112544,0.95135,68,35.6099,14530377456,0.92714,48,104.8792,421847696,0.68597
8,68,68,15.0535,287158304,0.95135,68,39.9323,2861417664,0.92714,48,115.8471,190942416,0.68597
9,68,68,14.976,1.844674407323599e+19,0.95135,68,35.2305,14384966656,0.92714,48,102.0986,421847664,0.68597
10,68,68,14.5744,1.844674407292735e+19,0.95135,68,37.8814,1747035936,0.92714,48,122.0792,0,0.68597
1,69,69,16.8138,1.844674407253725e+19,0.91728,69,39.9582,1909982560,0.91728,45,111.4081,0,0.59776
2,69,69,16.7598,1.844674407322561e+19,0.91728,69,39.8908,2063286448,0.91728,45,109.5632,0,0.59776
3,69,69,16.5799,1.844674407236425e+19,0.91728,69,36.0696,15467636240,0.91728,45,95.5596,372340144,0.59776
4,69,69,14.9925,5507568,0.91728,69,35.6696,13304236048,0.91728,45,92.8907,372340112,0.59776
5,69,69,14.9085,251129680,0.91728,69,39.4778,2389178544,0.91728,45,105.9892,0,0.59776
6,69,69,16.2107,1.844674407278846e+19,0.91728,69,39.281,2398584976,0.91728,45,110.8523,0,0.59776
7,69,69,16.2719,564965248,0.91728,69,38.46,1676847072,0.91728,45,110.8175,4176,0.59776
8,69,69,16.3191,1551862512,0.91728,69,37.2978,1836808416,0.91728,45,106.4919,48,0.59776
9,69,69,16.4082,1.844674407224575e+19,0.91728,69,40.3059,2296898784,0.91728,45,110.8646,218868576,0.59776
10,69,69,15.2548,1.844674407297425e+19,0.91728,69,39.0857,2363151872,0.91728,45,104.387,0,0.59776
1,70,70,16.0718,1.844674407307893e+19,0.91857,70,40.2537,1631511504,0.91857,46,114.2438,48,0.64721
2,70,70,16.2772,1.844674407325306e+19,0.91857,70,34.965,13673202176,0.91857,46,102.7509,409493840,0.64721
3,70,70,15.1203,1.844674407265192e+19,0.91857,70,37.3897,13141096064,0.91857,46,104.7886,409493840,0.64721
4,70,70,15.1189,177797376,0.91857,70,37.8114,8321961952,0.91857,46,104.0752,409493840,0.64721
5,70,70,15.3379,1.84467440722554e+19,0.91857,70,38.2177,14449565568,0.91857,46,104.0939,409493840,0.64721
6,70,70,15.2782,778459296,0.91857,70,40.6611,2312466576,0.91857,46,118.815,0,0.64721
7,70,70,16.6751,1.844674407224575e+19,0.91857,70,40.1271,2351294624,0.91857,46,116.735,48,0.64721
8,70,70,16.6075,1.844674407263725e+19,0.91857,70,36.4498,13857436048,0.91857,46,99.509,409493840,0.64721
9,70,70,14.8133,231758832,0.91857,70,37.2866,3310188944,0.91857,46,115.6332,0,0.64721
10,70,70,16.3893,1.844674407296463e+19,0.91857,70,39.3089,1610929744,0.91857,46,112.3665,0,0.64721
1,71,71,16.2313,1.844674407310434e+19,0.93608,71,35.8469,13470255936,0.93608,60,110.22,453216688,0.57649
2,71,71,15.1136,1.844674407238542e+19,0.93608,71,39.7452,1604366800,0.93608,60,123.3772,0,0.57649
3,71,71,16.2617,1.844674407327109e+19,0.93608,71,36.2372,13668598624,0.93608,60,109.6277,453216704,0.57649
4,71,71,15.1658,1.844674407285659e+19,0.93608,71,39.9476,1978381984,0.93608,60,119.6042,408189808,0.57649
5,71,71,15.324,1.844674407326785e+19,0.93608,71,39.3258,4058183056,0.93608,60,120.4997,0,0.57649
6,71,71,16.3366,1.844674407283351e+19,0.93608,71,39.5335,2659757424,0.93608,60,123.7156,0,0.57649
7,71,71,16.655,1.844674407233715e+19,0.93608,71,39.3264,1643204576,0.93608,60,120.4193,0,0.57649
8,71,71,16.2394,1.844674407284599e+19,0.93608,71,37.5106,13193043952,0.93608,60,104.0995,453216688,0.57649
9,71,71,14.5096,46633952,0.93608,71,38.0426,2513694992,0.93608,60,122.0593,0,0.57649
10,71,71,16.3381,1.84467440724139e+19,0.93608,71,39.673,1639148240,0.93608,60,120.2203,0,0.57649
1,72,71,16.4548,1216803696,0.92108,71,38.4385,1749681168,0.92108,40,120.0077,0,0.70812
2,72,71,16.1005,1.844674407260809e+19,0.92108,71,39.5265,2502634096,0.92108,40,119.3543,0,0.70812
3,72,71,16.552,1.844674407308442e+19,0.92108,71,40.24,2851324912,0.92108,40,119.068,61356288,0.70812
4,72,71,15.1969,80495840,0.92108,71,37.7546,1917740272,0.92108,40,127.1406,0,0.70812
5,72,71,16.6998,1.844674407264081e+19,0.92108,71,37.1989,13091614176,0.92108,40,108.9552,457662512,0.70812
6,72,71,14.8848,1.844674407350952e+19,0.92108,71,35.7229,14829172416,0.92108,40,103.8047,457662512,0.70812
7,72,71,14.3591,1103383344,0.92108,71,38.2874,1987704560,0.92108,40,122.115,149870464,0.70812
8,72,71,16.3725,1.844674407326858e+19,0.92108,71,38.0587,1820131968,0.92108,40,120.9741,48,0.70812
9,72,71,16.182,43640448,0.92108,71,37.3988,2947853616,0.92108,40,120.4969,48,0.70812
10,72,71,16.9504,1.844674407229847e+19,0.92108,71,40.0209,2018406032,0.92108,40,118.2591,48,0.70812
1,73,73,16.0226,1.844674407256251e+19,0.94066,73,37.3926,2922613216,0.94066,44,128.8084,0,0.61112
2,73,73,16.1707,1.8446744072602e+19,0.94066,73,39.2411,1742242352,0.94066,44,131.3546,325698080,0.61112
3,73,73,15.1876,1.844674407274439e+19,0.94066,73,39.9053,2023893232,0.94066,44,133.8399,0,0.61112
4,73,73,16.5644,1.844674407249699e+19,0.94066,73,37.4393,12902050864,0.94066,44,114.832,504856576,0.61112
5,73,73,14.9389,1.844674407356964e+19,0.94066,73,38.6555,2521053296,0.94066,44,133.9858,0,0.61112
6,73,73,16.7055,1.844674407293866e+19,0.94066,73,36.9694,12951248176,0.94066,44,117.2108,294562448,0.61112
7,73,73,16.1219,1.844674407292867e+19,0.94066,73,37.2877,14683015904,0.94066,44,117.7884,504856576,0.61112
8,73,73,15.0931,131071120,0.94066,73,35.984,12895305248,0.94066,44,114.7975,504856576,0.61112
