N,k,HEDAR:time,HEDAR:Jaccard,Hough:time,Hough:Jaccard,EFT:time,EFT:Jaccard
8,55,35.5147,0,0.14786,0.19704,1.5582,0.23171
9,55,36.4905,0,0.091155,0.19704,1.2255,0.23171
10,55,35.3323,0,0.096352,0.19704,1.2859,0.23171
1,60,40.6195,0,0.15629,0.19704,1.2918,0.23171
2,60,40.6265,0,0.090771,0.19704,1.2708,0.23171
3,60,40.5468,0,0.09488,0.19704,1.3337,0.23171
4,60,39.4235,0,0.091963,0.19704,1.2587,0.23171
5,60,41.224,0,0.099502,0.19704,1.3311,0.23171
6,60,40.5195,0,0.095983,0.19704,1.269,0.23171
7,60,41.376,0,0.095969,0.19704,1.3446,0.23171
8,60,40.5806,0,0.091965,0.19704,1.2863,0.23171
9,60,40.4125,0,0.089837,0.19704,1.2487,0.23171
10,60,43.1614,0,0.096427,0.19704,1.326,0.23171
1,65,54.9784,0,0.10182,0.19704,1.3339,0.23171
2,65,54.0812,0,0.093072,0.19704,1.3356,0.23171
3,65,54.5386,0,0.094429,0.19704,1.3399,0.23171
4,65,54.6947,0,0.093701,0.19704,1.3067,0.23171
5,65,49.9456,0,0.090103,0.19704,1.2565,0.23171
6,65,50.2104,0,0.091113,0.19704,1.2619,0.23171
7,65,50.263,0,0.091748,0.19704,1.2241,0.23171
8,65,50.1146,0,0.089182,0.19704,1.2268,0.23171
9,65,48.7915,0,0.091137,0.19704,1.3895,0.23171
10,65,50.5458,0,0.091098,0.19704,1.2258,0.23171
